Sample.ID,Depth,Temperature,DO,Salinity,Secchi.Disk,SED.Depth,SAV,,Site.Class,Strata,ID,Year,Season,System,Lake
2-1-2-T3,1.2,28.6,94.6,23.1,0.5,0.4,0,,Seasonal,Offshore,2017 Dry 2-1-2-T3,2017,Dry,McCormick,Seven Palm
2-2-1-1,1,27.6,72.7,25.1,0.6,0.6,0,,Seasonal,Inshore,2017 Dry 2-2-1-1,2017,Dry,McCormick,Middle Lake
2-2-1-11,0.8,29.5,83.5,25.6,0.5,0.8,5,,Seasonal,Inshore,2017 Dry 2-2-1-11,2017,Dry,McCormick,Middle Lake
2-2-1-3,0.5,29.1,92.1,23.7,0.5,0.7,5,,Seasonal,Inshore,2017 Dry 2-2-1-3,2017,Dry,McCormick,Middle Lake
2-2-2-20,1.2,29.7,105.9,25.4,0.6,0.5,80,,Seasonal,Offshore,2017 Dry 2-2-2-20,2017,Dry,McCormick,Middle Lake
2-2-2-26,1.1,29.8,104.5,25.2,0.6,0.5,35,,Seasonal,Offshore,2017 Dry 2-2-2-26,2017,Dry,McCormick,Middle Lake
2-2-2-3,1,28.5,79.9,25.6,0.6,0.7,5,,Seasonal,Offshore,2017 Dry 2-2-2-3,2017,Dry,McCormick,Middle Lake
2-2-2-9,1.2,29.8,107.1,25.1,0.6,0.2,55,,Seasonal,Offshore,2017 Dry 2-2-2-9,2017,Dry,McCormick,Middle Lake
2-2-2-T1,1.4,27.4,94,25.4,0.5,0.4,0,,Seasonal,Offshore,2017 Dry 2-2-2-T1,2017,Dry,McCormick,Middle Lake
2-2-2-T2,1.2,29.5,102.7,25.5,0.7,0.5,20,,Seasonal,Offshore,2017 Dry 2-2-2-T2,2017,Dry,McCormick,Middle Lake
2-3-1-11,0.8,27.5,60.2,33.8,0.6,1.1,0,,Seasonal,Inshore,2017 Dry 2-3-1-11,2017,Dry,McCormick,Monroe Lake
2-3-1-13,0.7,27.3,58.8,33.7,0.5,0.9,0,,Seasonal,Inshore,2017 Dry 2-3-1-13,2017,Dry,McCormick,Monroe Lake
2-3-1-20,0.6,27.9,49.1,32.4,0.4,1.4,25,,Seasonal,Inshore,2017 Dry 2-3-1-20,2017,Dry,McCormick,Monroe Lake
2-3-2-1,1,29.2,109.1,33.4,0.5,0.8,5,,Seasonal,Offshore,2017 Dry 2-3-2-1,2017,Dry,McCormick,Monroe Lake
2-3-2-14,1.1,28.6,82,33,0.7,0.6,10,,Seasonal,Offshore,2017 Dry 2-3-2-14,2017,Dry,McCormick,Monroe Lake
2-3-2-5,1.3,28.6,89.7,32.8,0.7,0.2,15,,Seasonal,Offshore,2017 Dry 2-3-2-5,2017,Dry,McCormick,Monroe Lake
2-3-2-6,1,29.9,87.2,33.6,0.6,0.5,10,,Seasonal,Offshore,2017 Dry 2-3-2-6,2017,Dry,McCormick,Monroe Lake
2-3-2-T1,0.8,29.9,77.1,33.7,0.6,1.1,90,,Seasonal,Offshore,2017 Dry 2-3-2-T1,2017,Dry,McCormick,Monroe Lake
2-3-2-T2,1.2,28.6,107.1,32.9,0.7,0.5,30,,Seasonal,Offshore,2017 Dry 2-3-2-T2,2017,Dry,McCormick,Monroe Lake
2-4-1-18,0.6,29.9,66.8,35.8,0.6,1.2,75,,Seasonal,Inshore,2017 Dry 2-4-1-18,2017,Dry,McCormick,Terrapin Bay
2-4-1-7,0.6,30,89.1,38.9,0.6,1.2,85,,Seasonal,Inshore,2017 Dry 2-4-1-7,2017,Dry,McCormick,Terrapin Bay
2-4-1-8,0.7,29.8,98.4,38.8,0.7,1,75,,Seasonal,Inshore,2017 Dry 2-4-1-8,2017,Dry,McCormick,Terrapin Bay
2-4-2-10,0.8,29.4,103.6,38.5,0.8,0.9,75,,Seasonal,Offshore,2017 Dry 2-4-2-10,2017,Dry,McCormick,Terrapin Bay
2-4-2-19,0.7,30.2,109.7,37.3,0.7,1.3,75,,Seasonal,Offshore,2017 Dry 2-4-2-19,2017,Dry,McCormick,Terrapin Bay
2-4-2-T1,0.8,29.1,106.4,40.6,0.8,0.8,30,,Seasonal,Offshore,2017 Dry 2-4-2-T1,2017,Dry,McCormick,Terrapin Bay
2-4-2-T2,0.8,28.3,94.6,36.3,0.8,1,80,,Seasonal,Offshore,2017 Dry 2-4-2-T2,2017,Dry,McCormick,Terrapin Bay
2-4-2-T3,0.7,30.6,127.4,39,0.7,1,50,,Seasonal,Offshore,2017 Dry 2-4-2-T3,2017,Dry,McCormick,Terrapin Bay
1-1-1-31,1,25.3,63,14.8,1,0.7,0,,Seasonal,Inshore,2017 Wet 1-1-1-31,2017,Wet,Alligator,West Lake
1-1-1-41,1.1,24.9,47,15.1,1,0.8,60,,Seasonal,Inshore,2017 Wet 1-1-1-41,2017,Wet,Alligator,West Lake
1-1-1-48,1.2,23.5,33.1,14.7,1,0.5,0,,Seasonal,Inshore,2017 Wet 1-1-1-48,2017,Wet,Alligator,West Lake
1-1-2-168,1.1,24.1,42.6,15,1,0.7,0,,Seasonal,Offshore,2017 Wet 1-1-2-168,2017,Wet,Alligator,West Lake
1-1-2-175,1.2,24.5,35,15.1,1.1,0.7,10,,Seasonal,Offshore,2017 Wet 1-1-2-175,2017,Wet,Alligator,West Lake
1-1-2-190,1.3,23.6,36.8,14.7,1.1,0.4,0,,Seasonal,Offshore,2017 Wet 1-1-2-190,2017,Wet,Alligator,West Lake
1-1-2-T1,1.1,24.5,69.6,15,1,0.5,60,,Seasonal,Offshore,2017 Wet 1-1-2-T1,2017,Wet,Alligator,West Lake
1-1-2-T2,1.4,23.7,66,14.8,1.1,0.4,0,,Seasonal,Offshore,2017 Wet 1-1-2-T2,2017,Wet,Alligator,West Lake
1-2-1-58,1.1,20.4,113.5,8.4,0.4,0.2,0,,Seasonal,Inshore,2017 Wet 1-2-1-58,2017,Wet,Alligator,Cuthbert Lake
1-2-1-63,1.1,19.1,102,8.5,0.4,0.6,0,,Seasonal,Inshore,2017 Wet 1-2-1-63,2017,Wet,Alligator,Cuthbert Lake
1-2-1-70,1,21.8,110,8.6,0.5,0.5,0,,Seasonal,Inshore,2017 Wet 1-2-1-70,2017,Wet,Alligator,Cuthbert Lake
1-2-2-221,1.2,20.8,109,8.6,0.5,0.2,0,,Seasonal,Offshore,2017 Wet 1-2-2-221,2017,Wet,Alligator,Cuthbert Lake
1-2-2-300,1.3,17.4,97.8,8.3,0.5,0.2,0,,Seasonal,Offshore,2017 Wet 1-2-2-300,2017,Wet,Alligator,Cuthbert Lake
1-2-2-301,1.4,20,103,8.4,0.4,0.5,0,,Seasonal,Offshore,2017 Wet 1-2-2-301,2017,Wet,Alligator,Cuthbert Lake
1-3-1-282,0.7,25.3,144.2,13.7,0.7,1,80,,Seasonal,Inshore,2017 Wet 1-3-1-282,2017,Wet,Alligator,Long Lake
1-3-1-283,0.6,24.9,120.8,13.3,0.6,0.9,98,,Seasonal,Inshore,2017 Wet 1-3-1-283,2017,Wet,Alligator,Long Lake
1-3-1-8,0.6,28.6,52.2,13,0.5,0.7,5,,Seasonal,Inshore,2017 Wet 1-3-1-8,2017,Wet,Alligator,Long Lake
1-3-2-256,1,24.8,163.5,13.3,0.9,0.6,100,,Seasonal,Offshore,2017 Wet 1-3-2-256,2017,Wet,Alligator,Long Lake
1-3-2-258,0.8,24,58,13.4,0.4,1.1,100,,Seasonal,Offshore,2017 Wet 1-3-2-258,2017,Wet,Alligator,Long Lake
1-3-2-281,1,25.3,114.2,13.4,0.9,1.2,90,,Seasonal,Offshore,2017 Wet 1-3-2-281,2017,Wet,Alligator,Long Lake
1-3-2-T1,0.7,25.4,45,12.9,0.4,1,0,,Seasonal,Offshore,2017 Wet 1-3-2-T1,2017,Wet,Alligator,Long Lake
1-3-2-T2,0.9,24.6,80.1,13.5,0.3,0.7,90,,Seasonal,Offshore,2017 Wet 1-3-2-T2,2017,Wet,Alligator,Long Lake
1-3-2-T3,0.9,25.2,181.5,13.4,0.6,0.8,100,,Seasonal,Offshore,2017 Wet 1-3-2-T3,2017,Wet,Alligator,Long Lake
1-4-1-17,0.9,25.5,75.3,12.8,0.9,0.7,0,,Seasonal,Inshore,2017 Wet 1-4-1-17,2017,Wet,Alligator,The Lungs
1-4-1-21,1.1,24.2,33,12.9,0.8,0.8,0,,Seasonal,Inshore,2017 Wet 1-4-1-21,2017,Wet,Alligator,The Lungs
1-4-1-27,0.7,24.6,58.8,12.6,0.7,0.9,90,,Seasonal,Inshore,2017 Wet 1-4-1-27,2017,Wet,Alligator,The Lungs
1-4-2-226,1,24.5,57,12.9,0.6,0.7,0,,Seasonal,Offshore,2017 Wet 1-4-2-226,2017,Wet,Alligator,The Lungs
1-4-2-227,1.1,23.8,30.6,12.9,1,0.8,20,,Seasonal,Offshore,2017 Wet 1-4-2-227,2017,Wet,Alligator,The Lungs
1-4-2-T1,1.3,24.9,93,12.9,0.9,0.2,0,,Seasonal,Offshore,2017 Wet 1-4-2-T1,2017,Wet,Alligator,The Lungs
1-4-2-T2,1.2,25.1,85,12.8,1.1,0.4,0,,Seasonal,Offshore,2017 Wet 1-4-2-T2,2017,Wet,Alligator,The Lungs
1-4-2-T3,1.2,23.6,26,12.9,1,0.8,85,,Seasonal,Offshore,2017 Wet 1-4-2-T3,2017,Wet,Alligator,The Lungs
1-5-1-84,0.8,28,77,26.1,0.4,1,0,,Seasonal,Inshore,2017 Wet 1-5-1-84,2017,Wet,Alligator,Garfield Bight
